url,label,xml_id
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f214/full/full/0/native.jpg,"104v",f213
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f215/full/full/0/native.jpg,"105r",f214
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f216/full/full/0/native.jpg,"105v",f215
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f217/full/full/0/native.jpg,"106r",f216
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f218/full/full/0/native.jpg,"106v",f217
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f219/full/full/0/native.jpg,"107r",f218
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f220/full/full/0/native.jpg,"107v",f219
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f221/full/full/0/native.jpg,"108r",f220
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f222/full/full/0/native.jpg,"108v",f221
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f223/full/full/0/native.jpg,"109r",f222
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f224/full/full/0/native.jpg,"109v",f223
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f225/full/full/0/native.jpg,"110r",f224
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f226/full/full/0/native.jpg,"110v",f225
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f227/full/full/0/native.jpg,"111r",f226
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f228/full/full/0/native.jpg,"111v",f227
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f229/full/full/0/native.jpg,"112r",f228
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f230/full/full/0/native.jpg,"112v",f229
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f231/full/full/0/native.jpg,"113r",f230
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f232/full/full/0/native.jpg,"113v",f231
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f233/full/full/0/native.jpg,"114r",f232
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f234/full/full/0/native.jpg,"114v",f233
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f235/full/full/0/native.jpg,"115r",f234
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f236/full/full/0/native.jpg,"115v",f235
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f237/full/full/0/native.jpg,"116r",f236
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f238/full/full/0/native.jpg,"116v",f237
